18.2,7.2,20,444,20.6,10.1,0.651
18.29,7.41,40,421.7,20.74,9.43,0.6796
18.38,7.62,60,399.4,20.88,8.76,0.7082
18.47,7.16,22,422.6,20.31,10.58,0.6434
18.47,7.16,22,427.2,20.31,10.58,0.6434
18.47,7.33,23,422.6,20.75,10.95,0.6569
18.47,7.5,24,424.9,21.19,10.58,0.6722
18.47,7.83,80,377.1,21.02,8.09,0.7368
18.48,7.42,25.9,443.3,20.72,9.8,0.6459
18.49,7.33,23.4,414.4,20.73,10.77,0.6565
18.5,7.4,31.1,445.3,20.74,10.43,0.6767
18.5,7.6,34.4,433.9,20.94,10.16,0.6616
18.52,7.37,62.5,432.8,20.48,9.88,0.633
18.52,7.37,62.5,432.8,20.48,9.88,0.6572
18.52,7.38,54.1,413.5,20.6,9.96,0.6657
18.56,8.04,100,354.8,21.16,7.42,0.7654
18.58,7.36,39,403.9,20.8,10.9,0.652
18.58,7.43,45.2,428.2,20.81,10.05,0.6427
18.59,7.29,55.2,436.5,20.46,10.72,0.6604
18.59,7.4,34.5,435.4,20.75,10.44,0.6612
18.65,8.25,120,332.5,21.3,6.75,0.794
18.74,7.12,24,401.2,20.02,11.06,0.6358
18.74,7.12,24,410.4,20.02,11.06,0.6358
18.74,7.46,26,401.2,20.9,11.8,0.6628
18.74,7.8,28,405.8,21.78,11.06,0.6934
18.74,8.46,140,310.2,21.44,6.08,0.8226
18.76,7.64,31.8,442.6,20.84,9.5,0.6408
18.77,7.5,36,430.1,20.94,10.56,0.6767
18.78,7.46,26.8,384.8,20.86,11.44,0.662
18.8,7.6,42.2,446.6,20.88,10.76,0.7024
18.8,8,48.8,423.8,21.28,10.22,0.6722
18.83,8.67,160,287.9,21.58,5.41,0.8512
18.84,7.54,105,421.6,20.36,9.66,0.615
18.84,7.54,105,421.6,20.36,9.66,0.6634
18.84,7.56,88.2,383,20.6,9.82,0.6804
18.92,8.88,180,265.6,21.72,4.74,0.8798
18.96,7.52,58,363.8,21,11.7,0.653
18.96,7.66,70.4,412.4,21.02,10,0.6344
18.98,7.38,90.4,429,20.32,11.34,0.6698
18.98,7.6,49,426.8,20.9,10.78,0.6714
19.01,7.08,26,379.8,19.73,11.54,0.6282
19.01,7.08,26,393.6,19.73,11.54,0.6282
19.01,7.59,29,379.8,21.05,12.65,0.6687
19.01,8.1,32,386.7,22.37,11.54,0.7146
19.01,9.09,200,243.3,21.86,4.07,0.9084
19.04,7.86,37.7,441.9,20.96,9.2,0.6357
19.07,7.59,30.2,355.2,20.99,12.11,0.6675
19.1,7.8,53.3,447.9,21.02,11.09,0.7281
19.1,8.4,63.2,413.7,21.62,10.28,0.6828
19.1,9.3,220,221,22,3.4,0.937
19.1,9.3,220,221,22,3.4,0.937
19.1,9.3,220,221,22,3.4,0.937
19.16,7.71,147.5,410.4,20.24,9.44,0.597
19.16,7.71,147.5,410.4,20.24,9.44,0.6696
19.16,7.74,122.3,352.5,20.6,9.68,0.6951
19.28,7.04,28,358.4,19.44,12.02,0.6206
19.28,7.04,28,376.8,19.44,12.02,0.6206
19.28,7.72,32,358.4,21.2,13.5,0.6746
19.28,8.4,36,367.6,22.96,12.02,0.7358
19.28,9.05,202,221.9,21.57,4.55,0.9008
19.28,9.05,202,226.5,21.57,4.55,0.9008
19.28,9.22,203,221.9,22.01,4.92,0.9143
19.28,9.39,204,224.2,22.45,4.55,0.9296
19.29,9.31,205.9,242.6,21.98,3.77,0.9033
19.3,9.22,203.4,213.7,21.99,4.74,0.9139
19.31,9.29,211.1,244.6,22,4.4,0.9341
19.31,9.49,214.4,233.2,22.2,4.13,0.919
19.32,8.08,43.6,441.2,21.08,8.9,0.6306
19.33,9.26,242.5,232.1,21.74,3.85,0.8904
19.33,9.26,242.5,232.1,21.74,3.85,0.9146
19.33,9.27,234.1,212.8,21.86,3.93,0.9231
19.34,7.68,77,323.7,21.2,12.5,0.654
19.34,7.8,52,416.2,21.28,11.02,0.7024
19.34,7.89,95.6,396.6,21.23,9.95,0.6261
19.36,7.72,33.6,325.6,21.12,12.78,0.673
19.37,7.47,125.6,421.5,20.18,11.96,0.6792
19.37,7.8,63.5,418.2,21.05,11.12,0.6816
19.39,9.25,219,203.2,22.06,4.87,0.9094
19.39,9.32,225.2,227.5,22.07,4.02,0.9001
19.4,8,64.4,449.2,21.16,11.42,0.7538
19.4,8.8,77.6,403.6,21.96,10.34,0.6934
19.4,9.18,235.2,235.8,21.72,4.69,0.9178
19.4,9.29,214.5,234.7,22.01,4.41,0.9186
19.46,8.8,184,222.8,21.14,5.7,0.8646
19.46,8.8,184,232,21.14,5.7,0.8646
19.46,9.14,186,222.8,22.02,6.44,0.8916
19.46,9.48,188,227.4,22.9,5.7,0.9222
19.48,7.88,190,399.2,20.12,9.22,0.579
19.48,7.88,190,399.2,20.12,9.22,0.6758
19.48,7.92,156.4,322,20.6,9.54,0.7098
19.48,9.32,191.8,264.2,21.96,4.14,0.8696
19.5,9.14,186.8,206.4,21.98,6.08,0.8908
19.52,9.28,202.2,268.2,22,5.4,0.9312
19.52,9.68,208.8,245.4,22.4,4.86,0.901
19.55,7,30,337,19.15,12.5,0.613
19.55,7,30,360,19.15,12.5,0.613
19.55,7.85,35,337,21.35,14.35,0.6805
19.55,8.7,40,348.5,23.55,12.5,0.757
19.56,9.22,265,243.2,21.48,4.3,0.8438
19.56,9.22,265,243.2,21.48,4.3,0.8922
